x_m,y_m,elevation_m,x_sim,y_sim,z_sim
6.062676937690703198e+02,1.044192721799015999e+03,4.093094635009765625e+01,1.212535387538140697e+01,2.088385443598032154e+01,8.186189270019531561e-01
6.365474950907519087e+02,1.044156544828554615e+03,3.762332916259765625e+01,1.273094990181503761e+01,2.088313089657109245e+01,7.524665832519531472e-01
6.668272956065484323e+02,1.044120397452265024e+03,4.070709991455078125e+01,1.333654591213096907e+01,2.088240794904530162e+01,8.141419982910156339e-01
6.971070953200687654e+02,1.044084279670612887e+03,4.302746582031250000e+01,1.394214190640137474e+01,2.088168559341225716e+01,8.605493164062499867e-01
7.273868942303815857e+02,1.044048191483132541e+03,4.555770111083984375e+01,1.454773788460763129e+01,2.088096382966265097e+01,9.111540222167968661e-01
7.576666923383018002e+02,1.044012132889591157e+03,4.512227630615234375e+01,1.515333384676603679e+01,2.088024265779182187e+01,9.024455261230468484e-01
7.879464896444114856e+02,1.043976103890920058e+03,4.541580200195312500e+01,1.575892979288822993e+01,2.087952207781840031e+01,9.083160400390625222e-01
8.182262861494091339e+02,1.043940104486187920e+03,4.284138488769531250e+01,1.636452572298818353e+01,2.087880208972375939e+01,8.568276977539062145e-01
8.485060818524798378e+02,1.043904134675627574e+03,4.034523010253906250e+01,1.697012163704959775e+01,2.087808269351255319e+01,8.069046020507812944e-01
8.787858767571742646e+02,1.043868194459239021e+03,3.779066085815429688e+01,1.757571753514348600e+01,2.087736388918478170e+01,7.558132171630859153e-01
9.090656708640744910e+02,1.043832283837487921e+03,3.364529800415039062e+01,1.818131341728149053e+01,2.087664567674976013e+01,6.729059600830078480e-01
9.393454641696880572e+02,1.043796402809442952e+03,3.177294731140136719e+01,1.878690928339376143e+01,2.087592805618885805e+01,6.354589462280273438e-01
9.696252566788461991e+02,1.043760551376035437e+03,2.720815467834472656e+01,1.939250513357692540e+01,2.087521102752070945e+01,5.441630935668945179e-01
9.999050483907922171e+02,1.043724729536799714e+03,2.468764877319335938e+01,1.999810096781584434e+01,2.087449459073599556e+01,4.937529754638672053e-01
1.030184839304827619e+03,1.043688937291968614e+03,1.977805137634277344e+01,2.060369678609655253e+01,2.087377874583937398e+01,3.955610275268554576e-01
1.060464629425783642e+03,1.043653174640843645e+03,1.629266548156738281e+01,2.120929258851567312e+01,2.087306349281687190e+01,3.258533096313476762e-01
1.090744418750167824e+03,1.043617441584123299e+03,1.306283664703369141e+01,2.181488837500335620e+01,2.087234883168246569e+01,2.612567329406738081e-01
1.121024207279959228e+03,1.043581738121807575e+03,1.422760772705078125e+01,2.242048414559918612e+01,2.087163476243615179e+01,2.845521545410156228e-01
1.151303995014459360e+03,1.043546064253430814e+03,1.360475158691406250e+01,2.302607990028918650e+01,2.087092128506861499e+01,2.720950317382812567e-01
1.181583781958499458e+03,1.043510419979924336e+03,1.898350334167480469e+01,2.363167563916999114e+01,2.087020839959848573e+01,3.796700668334960782e-01
3.337124629007303156e+02,1.013803817002102733e+03,6.240788650512695312e+01,6.674249258014606667e+00,2.027607634004205650e+01,1.248157730102539054e+00
3.639923015106469393e+02,1.013767374505288899e+03,6.086677169799804688e+01,7.279846030212938857e+00,2.027534749010577997e+01,1.217335433959960911e+00
3.942721393115352839e+02,1.013730961602181196e+03,5.612865447998046875e+01,7.885442786230705714e+00,2.027461923204362293e+01,1.122573089599609331e+00
4.245519763027550653e+02,1.013694578292779624e+03,4.722546005249023438e+01,8.491039526055100595e+00,2.027389156585559249e+01,9.445092010498047363e-01
4.548318124849465676e+02,1.013658224577084184e+03,4.273745727539062500e+01,9.096636249698931920e+00,2.027316449154168509e+01,8.547491455078125577e-01
4.851116478587500751e+02,1.013621900455094874e+03,3.971108627319335938e+01,9.702232957175001005e+00,2.027243800910189719e+01,7.942217254638671564e-01
5.153914824248058721e+02,1.013585605926346034e+03,3.802920150756835938e+01,1.030782964849611716e+01,2.027171211852692068e+01,7.605840301513672186e-01
5.456713161838124506e+02,1.013549340991768986e+03,3.516819381713867188e+01,1.091342632367624965e+01,2.027098681983537887e+01,7.033638763427734197e-01
5.759511491350131109e+02,1.013513105650432408e+03,3.815355682373046875e+01,1.151902298270026215e+01,2.027026211300864844e+01,7.630711364746094461e-01
6.062309812832390890e+02,1.013476899902801961e+03,4.113120651245117188e+01,1.212461962566478135e+01,2.026953799805604106e+01,8.226241302490234775e-01
6.365108126249979250e+02,1.013440723748644814e+03,4.063840866088867188e+01,1.273021625249995914e+01,2.026881447497289557e+01,8.127681732177735041e-01
6.667906431609299034e+02,1.013404577188193798e+03,4.024209594726562500e+01,1.333581286321859771e+01,2.026809154376387667e+01,8.048419189453125400e-01
6.970704728944692761e+02,1.013368460221681744e+03,4.025613021850585938e+01,1.394140945788938524e+01,2.026736920443363488e+01,8.051226043701171786e-01
7.273503018248593435e+02,1.013332372848410159e+03,3.987940979003906250e+01,1.454700603649718715e+01,2.026664745696820447e+01,7.975881958007812189e-01
7.576301299528568052e+02,1.013296315068611875e+03,4.249647521972656250e+01,1.515260259905713625e+01,2.026592630137223949e+01,8.499295043945312988e-01
7.879099572789855301e+02,1.013260286882752553e+03,4.376160812377929688e+01,1.575819914557971124e+01,2.026520573765505162e+01,8.752321624755859952e-01
8.181897838040022179e+02,1.013224288290366530e+03,3.922074890136718750e+01,1.636379567608004493e+01,2.026448576580733274e+01,7.844149780273437234e-01
8.484696095271501690e+02,1.013188319291453809e+03,3.776504898071289062e+01,1.696939219054300452e+01,2.026376638582907574e+01,7.553009796142577947e-01
8.787494344519218430e+02,1.013152379886247218e+03,3.914659881591796875e+01,1.757498868903843814e+01,2.026304759772494535e+01,7.829319763183594238e-01
